"object_id";"colonne";"valeur"
"33";"date_ingestion";"2025-10-17 15:14:35"
"34";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13579-INFO-EMP-LINKEDIN-FR-1596016475.html"
"34";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13579-INFO-EMP-LINKEDIN-FR-1596016475.html"
"34";"date_ingestion";"2025-10-17 15:14:35"
"35";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13580-INFO-EMP-LINKEDIN-FR-1623044159.html"
"35";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13580-INFO-EMP-LINKEDIN-FR-1623044159.html"
"35";"date_ingestion";"2025-10-17 15:14:35"
"36";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13581-INFO-EMP-LINKEDIN-FR-1524820953.html"
"36";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13581-INFO-EMP-LINKEDIN-FR-1524820953.html"
"36";"date_ingestion";"2025-10-17 15:14:35"
"37";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13582-INFO-EMP-LINKEDIN-FR-1611007803.html"
"37";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13582-INFO-EMP-LINKEDIN-FR-1611007803.html"
"37";"date_ingestion";"2025-10-17 15:14:35"
"38";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13583-INFO-EMP-LINKEDIN-FR-1602843522.html"
"38";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13583-INFO-EMP-LINKEDIN-FR-1602843522.html"
"38";"date_ingestion";"2025-10-17 15:14:35"
"39";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13584-INFO-EMP-LINKEDIN-FR-1599955384.html"
"39";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13584-INFO-EMP-LINKEDIN-FR-1599955384.html"
"39";"date_ingestion";"2025-10-17 15:14:35"
"40";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13585-INFO-EMP-LINKEDIN-FR-1450683034.html"
"40";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13585-INFO-EMP-LINKEDIN-FR-1450683034.html"
"40";"date_ingestion";"2025-10-17 15:14:35"
"41";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13586-INFO-EMP-LINKEDIN-FR-1559602447.html"
"41";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13586-INFO-EMP-LINKEDIN-FR-1559602447.html"
"41";"date_ingestion";"2025-10-17 15:14:35"
"42";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13587-INFO-EMP-LINKEDIN-FR-1595877705.html"
"42";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13587-INFO-EMP-LINKEDIN-FR-1595877705.html"
"42";"date_ingestion";"2025-10-17 15:14:35"
"43";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13588-INFO-EMP-LINKEDIN-FR-1489228239.html"
"43";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13588-INFO-EMP-LINKEDIN-FR-1489228239.html"
"43";"date_ingestion";"2025-10-17 15:14:35"
"44";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13589-INFO-EMP-LINKEDIN-FR-1572087526.html"
"44";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13589-INFO-EMP-LINKEDIN-FR-1572087526.html"
"44";"date_ingestion";"2025-10-17 15:14:35"
"45";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13590-INFO-EMP-LINKEDIN-FR-1465461379.html"
"45";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13590-INFO-EMP-LINKEDIN-FR-1465461379.html"
"45";"date_ingestion";"2025-10-17 15:14:35"
"46";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13591-INFO-EMP-LINKEDIN-FR-1497557216.html"
"46";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13591-INFO-EMP-LINKEDIN-FR-1497557216.html"
"46";"date_ingestion";"2025-10-17 15:14:35"
"47";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13592-INFO-EMP-LINKEDIN-FR-1487734181.html"
"47";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13592-INFO-EMP-LINKEDIN-FR-1487734181.html"
"47";"date_ingestion";"2025-10-17 15:14:35"
"48";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13593-INFO-EMP-LINKEDIN-FR-1566347092.html"
"48";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13593-INFO-EMP-LINKEDIN-FR-1566347092.html"
"48";"date_ingestion";"2025-10-17 15:14:35"
"49";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13594-INFO-EMP-LINKEDIN-FR-1604015381.html"
"49";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13594-INFO-EMP-LINKEDIN-FR-1604015381.html"
"49";"date_ingestion";"2025-10-17 15:14:35"
"50";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13595-INFO-EMP-LINKEDIN-FR-1617285899.html"
"50";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13595-INFO-EMP-LINKEDIN-FR-1617285899.html"
"50";"date_ingestion";"2025-10-17 15:14:35"
"51";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13596-INFO-EMP-LINKEDIN-FR-1555990361.html"
"51";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13596-INFO-EMP-LINKEDIN-FR-1555990361.html"
